rank,title,pages,type,course,academic_year,rating,url,document_id
18,KENYA MEDICAL TRAINING COLLEGE KRCHN COMMUNITY DIAGNOSIS SUPP. EXAM MARCH 2016,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/community-health-nursing/community-diagnosis-2/133799571?queryID=03d72ecabfa23b8ba2927aa552d66ee9&origin=search-results,133799571
19,KENYA MEDICAL TRAINING COLLEGE KRCHN PHARMACOLOGY SEM II EXAM MARCH 2017,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/pharmaceutics-i/pharmacology-4-to-excel-in-your-academic-journey-having-the-right-study-materials-is-paramount/132718485?queryID=03d72ecabfa23b8ba2927aa552d66ee9&origin=search-results,132718485
20,KENYA MEDICAL TRAINING COLLEGE KRCHN END OF YEAR EXAM SEPT 2015,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/fundamentals-of-nursing/special-persons/131992503?queryID=03d72ecabfa23b8ba2927aa552d66ee9&origin=search-results,131992503
21,KENYA MEDICAL TRAINING COLLEGE KRCHN CLASS BILLIARY ALIMENTARY EXAM 2015,,,,,,https://www.studocu.com/en-us/document/maseno-university/nursing/billiary-system-disorders/128476553?queryID=03d72ecabfa23b8ba2927aa552d66ee9&origin=search-results,128476553
22,KENYA MEDICAL TRAINING COLLEGE KRCHN 2ND SEMESTER SUPP. EXAM MARCH 2016,,,,,,https://www.studocu.com/en-us/document/maseno-university/nursing/biliary-system-disorders/128476549?queryID=03d72ecabfa23b8ba2927aa552d66ee9&origin=search-results,128476549
23,KENYA MEDICAL TRAINING COLLEGE KRCHN END OF YEAR EXAM MARCH 2016,,,,,,https://www.studocu.com/en-us/document/maseno-university/nursing/vector-borne/128476445?queryID=03d72ecabfa23b8ba2927aa552d66ee9&origin=search-results,128476445
24,KENYA MEDICAL TRAINING COLLEGE BOMET CAMPUS MIDWIFERY MIDTERM EXAMINATION,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/emergency-medical-technician/emergency-med-tech/150267890?queryID=03d72ecabfa23b8ba2927aa552d66ee9&origin=search-results,150267890
25,CHS 221 END OF SEMESTER EXAMINATION - KENYA MEDICAL TRAINING COLLEGE,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/radiography-and-imaging-sciences/chs/142357675?queryID=03d72ecabfa23b8ba2927aa552d66ee9&origin=search-results,142357675
26,Psychiatry Examination - Kenya Medical Training College (KRCHN Class),,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/community-health-nursing/psychiatry/97265528?queryID=03d72ecabfa23b8ba2927aa552d66ee9&origin=search-results,97265528
27,KJSEA Integrated Science Topical Test: Living Things & Environment,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/int-topical-test-2-kenya-medical-training-college/136316027?queryID=03d72ecabfa23b8ba2927aa552d66ee9&origin=search-results,136316027
28,CERT Trauma 2 Exam Paper - Kenya Medical Training College,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/orthopaedic-nursing-medical-surgical-nursing/cert-traumatology-2-good/98043229?queryID=03d72ecabfa23b8ba2927aa552d66ee9&origin=search-results,98043229
29,KENYA MEDICAL TRAINING COLLEGE KRCHN CLASS BILIARY & ALIMENTARY DISEASES EXAM,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/alimentary-biliary-sep14/124893855?queryID=03d72ecabfa23b8ba2927aa552d66ee9&origin=search-results,124893855
30,KENYA MEDICAL TRAINING COLLEGE KRCHN PHARMACOLOGY END OF YEAR EXAM 2014,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/pharmacology-1/pharmacology-1-to-excel-in-your-academic-journey-having-the-right-study-materials-is-paramount/132718297?queryID=03d72ecabfa23b8ba2927aa552d66ee9&origin=search-results,132718297
1,KENYA MEDICAL TRAINING COLLEGE KRCHN DERMATOLOGY END OF YEAR EXAM MARCH 2016,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/genitourinary-tract-disorders-medical-surgical-nursing/dermatology-to-excel-in-your-academic-journey-having-the-right-study-materials-is-paramount/132718332?queryID=9e4e6576764302323ac3df795138393c&origin=search-results,132718332
2,KENYA MEDICAL TRAINING COLLEGE KRCHN FIRST SEMESTER FIRST AID EXAM,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/emergency-medical-technician/end-of-first-semester-first-aid/132718321?queryID=9e4e6576764302323ac3df795138393c&origin=search-results,132718321
3,KENYA MEDICAL TRAINING COLLEGE KRCHN PHARMACOLOGY END OF YEAR EXAM 2014,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/pharmacology-1/pharmacology-2-to-excel-in-your-academic-journey-having-the-right-study-materials-is-paramount/132718267?queryID=9e4e6576764302323ac3df795138393c&origin=search-results,132718267
4,KENYA MEDICAL TRAINING COLLEGE KRCHN SEM 1 SOCIAL ANTHROPOLOGY EXAM 2014,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/social-anthropology/social-antropology/146464842?queryID=9e4e6576764302323ac3df795138393c&origin=search-results,146464842
5,KENYA MEDICAL TRAINING COLLEGE KRCHN ORTHOPAEDICS END OF YEAR EXAM MARCH 2013,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/orthopaedic-nursing-medical-surgical-nursing/orthopaedics-to-excel-in-your-academic-journey-having-the-right-study-materials-is-paramount/132718527?queryID=9e4e6576764302323ac3df795138393c&origin=search-results,132718527
6,KENYA MEDICAL TRAINING COLLEGE KRCHN PHARMACOLOGY END OF YEAR EXAM 2014,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/pharmacology-1/pharmacology-3-1-to-excel-in-your-academic-journey-having-the-right-study-materials-is-paramount/132718513?queryID=9e4e6576764302323ac3df795138393c&origin=search-results,132718513
7,KENYA MEDICAL TRAINING COLLEGE KRCHN NUTRITION END OF YEAR EXAM 2014,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/nutrition-and-dietetics/nutrition-1-to-excel-in-your-academic-journey-having-the-right-study-materials-is-paramount/132718405?queryID=9e4e6576764302323ac3df795138393c&origin=search-results,132718405
8,KENYA MEDICAL TRAINING COLLEGE KRCHN MICROBIOLOGY END OF YEAR EXAM 2014,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/microbiology-1-to-excel-in-your-academic-journey-having-the-right-study-materials-is-paramount/132718358?queryID=9e4e6576764302323ac3df795138393c&origin=search-results,132718358
